Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.682,58.629,58.348,57.882,57.434,57.067,56.801,56.59,56.42,56.26,56.058,55.775,55.421,55.061,54.759,54.521,54.372,54.373,54.304,55.206,55.414,55.479,55.445,55.525,55.594,55.669,55.736,55.724,55.673,57.519,57.57,57.779,58.067
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.214,51.947,51.906,51.668,52.567,53.573,53.766,53.555,53.618,53.605,54.494,55.034,55.221,55.9,55.675,56.957,57.509,58.06,58.535,58.736,58.596,58.845,58.75,58.666,58.635,59.098,59.328,59.838,60.48,60.951,60.192,61.216,62.052
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.994,43.538,44.845,45.301,48.636,49.377,48.822,48.704,49.332,49.504,49.386,49.36,50.565,50.783,50.003,51.297,51.979,52.848,53.378,54.041,54.156,54.507,54.994,55.287,55.3,55.353,55.911,55.889,55.905,55.987,55.629,55.915,56.343
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.353,65.605,67.504,69.872,72.249,73.899,74.102,73.899,73.36,72.993,72.135,70.195,68.729,66.541,64.093,62.824,61.004,56.745,56.671,57.994,59.747,58.211,59.144,59.29,60.139,60.96,62.027,62.419,62.988,62.791,64.729,64.097,63.666
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.466,89.974,89.463,88.797,88.117,87.52,86.751,85.892,85.01,84.473,83.941,83.443,82.976,82.547,82.183,81.851,81.568,81.336,81.128,81.038,80.967,80.818,80.69,80.586,80.472,80.748,80.917,80.993,81.001,80.848,79.897,80.693,81.457
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.51,37.97,38.875,39.559,40.169,40.541,40.561,41.005,41.662,43.167,43.643,41.864,42.571,42.951,44.25,45.691,45.815,46.534,46.912,46.947,47.713,47.034,47.1,47.766,48.077,48.004,47.77,48.737,49.533,49.841,49.336,50.042,50.575
Benin,BEN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.977,56.97,56.975,57.708,58.464,59.245,60.039,60.85,61.685,62.546,63.433,64.348,65.292,65.756,66.223,66.697,67.173,67.647,68.126,68.608,69.094,69.583,67.819,66.004,64.14,62.232,60.283,58.299,56.283,56.331,55.792,55.9,56.251
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.375,79.368,78.361,77.319,76.241,75.128,73.982,72.801,71.578,70.313,69.014,67.68,66.311,64.911,63.481,62.026,60.55,60.111,59.698,59.307,58.937,58.587,58.258,57.954,57.675,57.696,57.715,57.737,57.766,57.801,57.248,58.034,58.27
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.041,26.14,26.29,26.484,26.709,26.96,27.16,27.39,27.64,27.891,28.133,28.304,28.488,28.675,28.857,29.038,29.131,29.541,29.962,30.384,30.789,31.191,31.595,32.007,32.424,32.847,33.271,36.449,36.694,36.884,36.543,37.104,37.695
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.232,53.556,53.855,52.711,51.565,50.417,49.267,48.115,46.965,45.815,44.666,46.457,46.063,44.799,45.465,44.422,46.36,47.476,48.333,47.521,47.794,47.224,47.849,48.577,48.63,48.573,47.666,49.518,49.218,50.276,49.188,49.034,50.292
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.077,28.984,29.606,30.22,30.842,31.476,32.126,32.794,33.494,34.244,35.045,35.895,36.728,37.536,38.256,38.975,39.769,40.642,41.594,42.626,43.601,42.582,42.818,42.986,42.994,43.029,43.243,43.585,44.119,44.414,42.968,43.318,44.296
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.632,65.161,65.693,66.217,66.685,67.075,67.409,68.093,67.44,68.681,68.981,69.134,69.251,68.865,68.678,68.788,68.838,68.728,68.194,67.461,67.379,67.27,67.437,66.946,66.871,66.689,66.66,66.793,66.898,66.802,63.513,64.85,66.149
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.019,31.876,31.485,30.903,30.374,29.957,29.882,29.794,29.749,29.703,29.6,29.53,29.914,30.255,30.528,30.797,31.086,31.077,32.443,32.862,34.04,34.024,34.106,33.994,35.506,35.433,34.845,35.409,34.894,36.947,36.009,39.63,39.397
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.348,53.109,52.958,52.813,52.85,52.977,52.813,52.57,52.559,52.742,53.379,53.878,54.254,54.537,54.774,55.058,55.391,55.779,56.203,56.609,56.996,57.367,57.663,57.875,58.044,58.182,58.289,58.134,57.629,57.832,57.495,57.69,57.527
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.642,33.67,34.864,35.385,35.092,35.648,36.223,36.824,37.447,38.079,38.716,39.355,39.992,40.621,41.236,41.845,42.453,43.065,43.678,44.279,44.878,45.486,46.093,46.695,47.635,48.585,49.566,49.008,49.261,49.316,47.912,49.147,49.92
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.283,56.798,56.755,57.13,57.562,58,58.378,58.855,60.2,61.537,59.458,59.583,59.714,59.848,59.982,60.117,63.382,60.887,61.998,62.592,62.229,61.865,57.652,58.78,61.172,54.61,56.949,59.139,63.586,60.731,59.337,57.599,59.132
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.747,43.794,44.746,45.708,46.679,47.661,46.428,47.487,48.223,49.522,50.669,51.819,53.361,53.483,54.405,55.594,55.301,55.08,54.705,55.187,53.679,52.162,52.394,52.363,52.299,52.865,52.856,53.752,54.051,54.81,49.487,51.979,53.555
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.032,59.69,59.356,60.206,61.049,62.582,61.339,62.402,62.036,61.563,62.688,63.801,62.83,63.933,64.476,64.497,62.784,61.973,62.537,62.714,62.888,63.058,61.077,62.022,60.445,60.847,61.913,60.543,59.508,59.064,57.178,57.617,58.03
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.92,46.23,47.217,48.208,49.193,50.17,51.143,52.113,53.078,54.036,54.988,55.931,55.969,56.007,56.046,56.086,56.128,56.17,56.216,56.263,56.31,56.356,56.33,56.311,56.3,56.297,56.302,56.316,57.381,55.222,54.703,55.079,55.541
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.513,58.381,58.276,58.193,58.109,58.021,58.383,58.843,59.372,59.923,60.501,61.193,61.941,62.717,63.473,64.194,64.579,64.955,65.314,65.655,63.367,62.38,63.088,58.263,54.019,55.063,55.105,55.065,54.964,54.835,52.674,52.9,53.763
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.341,46.46,46.562,46.652,46.759,46.891,47.003,47.142,47.3,47.858,48.436,49.087,49.74,50.396,51.052,51.71,52.367,53.428,54.487,55.543,52.652,53.319,53.987,54.654,55.32,55.983,56.642,57.298,57.95,58.6,57.483,59.196,60.015
Central African Republic,CAF,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.173,63.173,63.184,63.204,63.234,63.276,63.278,63.284,63.298,63.32,63.351,63.325,63.315,63.312,63.315,63.32,63.275,63.238,63.21,63.198,63.205,63.125,63.062,63.018,62.992,62.976,63.034,63.107,63.19,63.278,62.679,63.195,63.65
Canada,CAN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.494,58.42,57.834,57.66,57.518,57.475,57.462,57.787,58.388,58.914,59.4,59.756,60.911,61.894,61.991,61.659,61.883,62.505,62.551,62.426,62.407,62.161,62.121,62.171,61.547,61.213,61.274,61.476,61.292,61.437,59.509,60.622,60.887
Central Europe and the Baltics,CEB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.61428072,54.68993296,54.56278962,53.78422258,53.02812965,52.14933102,51.1030067,50.98576233,50.64794407,50.55711497,50.63753269,50.51665163,48.7997719,48.18193888,47.83082817,47.48339844,47.45020608,47.34772855,47.45622899,47.6657505,47.9791655,47.87090045,48.29314539,48.39744002,48.79698921,48.79438266,48.744986,49.33278053,49.3902674,49.32790078,48.9763397,49.38589622,50.15016227
Switzerland,CHE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.019,56.796,57.125,56.939,56.224,55.851,57.029,56.95,58.167,58.147,57.635,58.783,59.29,59.449,59.1,59.331,59.752,59.924,61.285,61.569,59.969,60.532,60.82,61.135,61.89,62.277,62.822,62.593,62.898,62.972,62.506,62.226,62.364
Channel Islands,CHI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.963,46.065,46.337,46.041,45.977,46.449,47.288,47.75,48.135,49.07,49.222,50.545,52.496,53.257,53.212,52.591,51.882,51.04,51.712,52.803,52.699,51.354,51.502,51.482,51.486,51.647,51.86,51.98,51.942,51.924,51.136,51.615,52.02
Chile,CHL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.141,32.042,33.434,34.204,34.762,35.914,36.78,37.516,37.878,38.12,37.724,36.749,36.47,37.823,39.244,40.16,41.317,42.262,44.207,44.645,45.501,47.525,47.775,47.91,48.564,48.431,48.194,48.72,49.287,49.451,44.596,46.223,48.817
China,CHN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.091,72.844,72.597,72.348,72.098,71.846,71.593,71.339,71.083,70.826,70.567,69.913,69.251,68.58,67.901,67.213,66.518,65.816,65.107,64.391,63.668,63.669,63.354,63.059,62.878,62.675,62.413,62.062,61.709,61.447,59.099,61.306,61.067
Cote d'Ivoire,CIV,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.878,47.922,47.99,48.073,48.164,48.256,48.282,48.311,48.345,48.716,49.085,49.452,49.81,50.166,50.526,50.887,51.249,51.613,51.98,52.35,52.724,53.106,53.497,53.889,54.281,54.675,55.069,55.465,55.864,56.264,55.733,56.685,57.521
Cameroon,CMR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.655,77.635,77.627,77.632,77.649,77.682,77.702,77.738,77.785,77.839,77.897,77.931,77.965,78.001,78.039,78.077,78.089,78.108,75.74,73.2,70.493,69.635,68.768,67.894,67.013,67.045,67.075,67.114,67.163,67.219,66.58,66.892,67.447
"Congo, Dem. Rep.",COD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.444,71.398,71.362,71.334,71.323,71.339,71.298,71.282,71.286,71.299,71.311,71.282,71.262,71.247,71.237,71.232,70.054,68.85,67.62,66.365,65.088,63.788,62.467,62.453,62.452,62.464,62.462,62.48,62.514,62.562,61.968,62.524,63.077
"Congo, Rep.",COG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.015,66.087,66.17,66.258,66.344,66.424,66.494,66.563,66.626,66.682,66.734,66.754,66.779,66.803,66.82,66.827,66.846,66.857,66.863,66.873,66.893,66.822,66.771,66.739,66.723,66.72,66.746,66.789,66.848,66.924,66.213,66.467,66.857
Colombia,COL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.111,51.159,51.552,52.176,52.885,53.515,53.624,53.993,53.9,52.979,53.286,53.4,53.602,54.765,52.959,52.022,50.521,49.021,49.608,53.1,55.253,56.089,57.599,57.442,57.531,58.082,57.782,57.645,56.927,55.921,50.19,51.693,50.948
Comoros,COM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.456,31.463,31.482,31.513,31.56,31.625,31.694,31.774,31.867,31.98,32.117,32.243,32.382,32.507,32.597,32.597,32.598,32.599,32.603,32.612,32.625,32.642,32.662,32.685,32.709,32.771,32.821,32.88,32.95,33.032,32.713,32.904,33.252
Cabo Verde,CPV,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.951,41.259,41.566,41.874,42.188,42.51,42.84,43.178,43.525,43.88,44.221,44.549,44.888,45.237,45.6,45.974,46.36,46.761,47.175,47.603,48.062,48.626,49.193,49.768,50.353,50.949,51.553,52.167,48.752,50.55,47.57,48.876,49.87
Costa Rica,CRI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.762,33.21,32.469,33.369,34.494,35.382,33.861,36.895,39.202,39.685,38.384,42.229,42.045,42.545,40.841,44.53,44.417,45.554,46.159,46.303,43.904,46.285,51.25,51.073,51.166,49.892,43.759,45.739,48.499,52.579,48.492,50.109,50.142
Caribbean small states,CSS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84009685,51.92339846,52.18074497,52.16900946,52.17887182,52.19923181,52.30710823,52.14759978,51.83236613,51.37605278,51.2222945,50.8661739,50.87652416,51.2351749,51.84758177,52.29527199,52.49377565,52.20423881,52.44122088,51.44722937,50.69666,50.72865056,51.58225235,52.01349284,52.51143125,53.93816238,53.83380624,54.08597514,53.94581102,53.97976086,52.12660458,53.4400128,54.79809803
Cuba,CUB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.986,36.758,35.443,33.749,33.791,33.999,34.789,35.029,34.98,35.568,36.176,36.491,36.682,37.148,37.797,38.951,40.163,40.861,41.201,42.376,41.861,41.635,41.858,42.042,42.02,42.364,42.233,42.25,42.322,42.121,38.823,39.888,41.279
Curacao,CUW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.828,42.501,42.992,43.694,44.403,45.11,45.816,46.524,47.234,47.945,48.658,51.339,52.033,53.444,53.137,52.97,54.075,55.533,55.625,56.396,57.543,57.16,56.625,56.763,58.325,57.503,56.172,56.635,57.2,57.284,56.396,57.638,58.205
Czechia,CZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.344,52.345,52.342,52.336,52.579,52.327,51.818,51.548,51.649,51.895,51.498,51.094,50.731,50.825,50.461,50.641,50.543,49.764,49.325,49.547,49.325,49.468,50.04,50.918,50.86,51.244,51.86,52.288,52.775,52.584,51.816,51.89,52.303
Germany,DEU,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.376,48.128,47.873,47.623,47.799,47.685,47.85,48.206,48.436,48.987,48.884,49.334,49.397,49.781,49.481,51.152,52.029,52.453,52.559,52.951,53.052,53.99,54.022,54.571,54.759,54.708,55.645,55.915,55.965,56.596,55.56,55.471,56.373
Djibouti,DJI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.918,14.909,14.97,15.074,15.171,15.235,15.331,15.389,15.431,15.497,15.607,15.678,15.786,15.923,16.069,16.217,16.46,16.709,16.963,17.214,17.449,17.578,17.685,17.776,17.869,17.975,18.036,18.133,18.246,18.35,17.537,17.925,18.193
Dominica,DMA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.443,61.689,62.391,61.855,58.296,57.468,58.758,59.024,59.513,60.038,60.222,59.659,60.235,59.724,60.383,60.391,60.93,60.654,59.903,59.644,58.85,58.589,58.148,57.596,57.019,56.737,57.563,57.616,57.567,57.987,57.75,58.071,58.94
Dominican Republic,DOM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.838,34.82,35.785,36.39,36.5,36.902,37.34,38.089,38.645,39.134,39.498,38.101,39.767,38.914,38.905,39.545,40.357,40.041,41.637,38.734,41.482,43.478,45.028,44.914,45.2,47.995,48.662,48.864,50.134,52.135,47.262,50.931,52.503
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.849,10.958,11.082,11.225,11.388,11.573,11.763,11.895,12.035,12.184,12.335,12.489,12.646,12.805,12.966,13.131,13.299,13.471,13.647,13.825,14.058,14.861,15.695,16.472,14.798,16.18,16.824,16.687,16.55,16.444,15.402,15.909,16.359
East Asia & Pacific (excluding high income),EAP,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05975361,68.74547698,68.59280653,68.24967879,68.1607581,67.95626118,67.75454026,67.39569866,67.2432938,66.97449681,66.73774481,66.06985163,65.31543898,64.74042891,64.09676478,63.54062612,62.99786554,62.95373073,62.4448984,61.90107363,61.39811003,61.50426521,61.28906227,60.92325877,60.79264551,60.61069782,60.31927745,59.96690005,59.86871731,59.76144682,57.69280847,59.52551179,59.54119388
